지원금명,상태,카테고리,지역,신청기간,지원내용,상세URL
영월읍에서 일주일 살기,마감,살아보기,강원 영월군,2025년 4월 1일 ~ 2025년 6월 30일,숙박비 1박당 1인 5만원·2인 7만원·3인 8만원·4인 9만원 이내 실비 + 체험·입장료 1인 1일 2만원 이내 지원,https://www.masil.io/programs/98d61672-94ed-4a1c-86cd-7c2cd65d1ece
2025년 거창에서 한 달 여행하기,마감,살아보기,경남 거창군,2025.03.19 ~ 2025.04.04,"숙박비 팀당 1일 최대 70,000원 + 체험비 1인 70,000~100,000원 + 보험료 1인 최대 20,000원 + 관광택시 지원",https://www.masil.io/programs/2c88e836-1c2d-477c-97b5-2bf335d765f1
강진군 방문인증 이벤트,마감,미션,전남 강진군,2024.06.14 ~ 2024.06.30,"추첨 경품: 에어팟 프로2, 강진한우 등심구이 세트, 강진 청자 패키지, GS25 기프트카드",https://www.masil.io/programs/cdf93cc1-6f92-48e6-98ac-1b6fca7741c1
제천에서 일주일 살아보기 2024,마감,살아보기,충북 제천시,2024년 7월 10일 ~ 2024년 11월 30일,"1박2일 기준 1인팀 10만원, 2인팀 18만원, 3인팀 25만원, 4인팀 32만원(숙박·체험·교통비)",https://www.masil.io/programs/e1f2cc08-57df-42bf-b47d-6af336c50dc1
새활용 야행 캠프 9기,마감,투어/체험,전북,2024년 10월 7일 ~ 2024년 10월 13일,"교육비 전액 무료 + 게스트하우스 제공(보증금 5만원, 수료 시 반환)",https://www.masil.io/programs/b8eef71b-bb63-4677-bc5a-9d7dbe8bbcff
2024년 거창에서 한 달 여행하기 참가자 모집 공고(2차),마감,살아보기,경남 거창군,2024년 7월 15일 ~ 2024년 8월 31일,숙박비 1박당 5만원 이내 + 체험비 1인 7~10만원 실비 + 관광택시 지원,https://www.masil.io/programs/12ea4db4-9dcf-4512-9ef5-2d8c78010646
「이젠 연천: 연천으로 떠나는 팸투어」,마감,투어/체험,경기,2024년 10월 25일 ~ 2024년 10월 27일,숙박·관광·식사·교통 등 팸투어 경비 일체 지원 + 관광·체험 기념품 제공,https://www.masil.io/programs/1d777eda-864c-4bcc-8a58-98638ddff54a
2024년 동두천 시티투어 프로그램,마감,투어/체험,경기,2024년 6월 19일 ~ 2024년 11월 23일,"회차별 참가비 1만~2.6만원, 나머지 프로그램비·식대 등은 동두천시 지원",https://www.masil.io/programs/a4460487-aede-4c45-9017-09a689b9b5d5
2024 사진작가와 함께하는 ‘통영스냅사진 투어',마감,투어/체험,경남 통영시,2024년 10월 19일 ~ 2024년 11월 3일,"숙박비, 음료·간식, 1일차 저녁·2일차 아침, 스냅사진 데이터 및 사진전 지원",https://www.masil.io/programs/14473eb9-886a-4fc9-817c-1f0b6aa941d7
5차 농도상생 체험투어 참가자 모집,마감,투어/체험,경남 김해시,2024.06.18 ~ 2024.06.28,"전세버스·점심·입장료·체험비·물 제공(참가비 성인 2만원, 아동 1만원, 36개월 미만 무료)",https://www.masil.io/programs/3bea5d15-cb8f-4e7a-a789-e3eda6f146e2
"2024년 경남에서 한 달 여행하기 'wellnessmate, 산청' (2차)",마감,살아보기,경남 산청군,2024년 7월 1일 ~ 2024년 8월 31일,"숙박비 1일 50,000원",https://www.masil.io/programs/438ecea7-c376-4080-b20e-a41ed7868298
2024년 담양에서 일주일 여행하기,마감,살아보기,전남 담양군,2024년 7월 1일 ~ 2024년 12월 31일,1일 최대 15만원(숙박 8만원 + 교통 2만원 + 식비 3만원 등),https://www.masil.io/programs/02ef0ba9-8275-4f58-93e7-f49469ac21ae
'우리 섬 사랑 기부' 이벤트,마감,한달살기,전국,2024년 5월 13일 ~ 2024년 6월 30일,10만원 이상 기부자 추첨: 공연티켓·호텔 1박 숙박권·부대프로그램 참여권 제공,https://www.masil.io/programs/28496315-de60-49ec-9b51-1789233b51dc
2024 성동여행 SNS 서포터즈 모집,마감,서포터즈,서울,2024년 7월 1일 ~ 2024년 12월 31일,활동비 지급(재게시 자료 기준 1인 최대 12만원),https://www.masil.io/programs/b424943b-202c-43b1-aa5b-8d7706bbe0a8
뤁빌리지 지역살이 3기~6기,마감,살아보기,충북,2024년 7월 1일 ~ 2024년 10월 16일,"숙박·교육·체험 무료, 주거·활동공간 무료 제공, 사업기획 멘토링 및 우수 기획 지원 연계",https://www.masil.io/programs/81a102d7-29d2-44bf-9fb8-09e704327171
"2024년 경남에서 한 달 여행하기 'wellnessmate, 산청' (3차)",마감,살아보기,경남 산청군,2024년 10월 1일 ~ 2024년 12월 8일,"숙박비 1일 50,000원",https://www.masil.io/programs/ada2a10e-50ac-47d1-8f0f-b1c8405f372e
황토구들마을 (2기),마감,한달살기,강원 평창군,2024.09.23 ~ 2024.10.07,황토구들마을 내 귀농귀촌 체험 거주공간 제공,https://www.masil.io/programs/c93e2f43-f4bb-4a16-8f5c-13962626a705
정읍시 도시재생과 함께해요 같이 가요 (1박 2일),마감,한달살기,전북,2024년 10월 11일 ~ 2024년 10월 12일,"참가비 무료, 숙박·식사·간식·단체티셔츠·프로그램 지원",https://www.masil.io/programs/5d03e942-c7b6-43b0-b680-e2fd73588fbc
생텀마을 10월 지역살이 프로그램,마감,살아보기,경북,2024년 10월 10일 ~ 2024년 10월 11일,"숙박 제공, 공식 프로그램 운영일 1일 1끼 식사 제공, 프로그램 참가비 면제",https://www.masil.io/programs/eb3e79e2-26e1-4baa-a8e0-1eed73c9862c
2024 삶의 경로 탐색 프로젝트 괴산어때 한달살기 3기,마감,살아보기,충북,2024년 10월 22일 ~ 2024년 11월 16일,숙박·중식·여행자보험 제공 + 활동비 30만원(참가비 5만원),https://www.masil.io/programs/2aebf17d-83ef-4ef2-b477-21201ded252b
2024 괴산어때 올갱이즈:10월편 참여자 모집,마감,한달살기,충북,2024년 10월 25일 ~ 2024년 10월 27일,숙소·여행자보험·괴산 내 교통·식사·웰컴키트·프로그램 제공(참가비 7만원),https://www.masil.io/programs/72328b27-6681-4df8-adc9-7b0742b90e48
광주미미(美味) 맛집리이-뷰 챌린지,마감,미션,광주광역시,2024.09.11 ~ 2024.11.17,선착순 150명 커피쿠폰 + 추첨 짐벌카메라 1명·스마트폰짐벌 3명·3만원 배달쿠폰 10명,https://www.masil.io/programs/6074e80f-94fd-450f-84e8-0342a2a65f50
2024년 담양 행복여행 지원사업 여행참가자 모집 공고,마감,한달살기,전남 담양군,2024년 10월 18일 ~ 2024년 11월 30일,전남 도내 당일 여행상품 1인당 16만원 이내 지원(조건 충족 동행인 추가 지원),https://www.masil.io/programs/7bcc0d13-1d1a-4a10-90bb-2619f9b0d7a4
예밀포도마을 (3기),마감,한달살기,강원 영월군,2024.06.17 ~ 2024.07.01,주거공간 무료 + 체험 프로그램 + 연수비 월 10만원/인 지원,https://www.masil.io/programs/8809b733-0ae5-48b6-8633-94914af7148e
지금 우리 보성여행 (2024 남도에서 한 달 여행하기),마감,살아보기,전남 보성군,2024년 7월 10일 ~ 2024년 11월 30일,"숙박비 80,000원 (2인 1실 기준)",https://www.masil.io/programs/57a5d4e9-e6d4-4d8e-8429-1a567a7a76f2
2024 영도구 모바일 스탬프 투어,마감,미션,부산 영도구,2024.10.01 ~ 2024.11.30,"코스 완주자 5천원 모바일상품권, 전체 코스 완주 2만원, 후기 이벤트 1만원 상품권(추첨)",https://www.masil.io/programs/80ba4f0f-9127-4ba3-9275-d71d55e7f98f
도고 취향살이 편지편: 나에게 쓰는 편지,마감,살아보기,충남,2024년 7월 8일 ~ 2024년 7월 10일,숙소·공유오피스·2박3일 프로그램 무료·여행자보험 제공,https://www.masil.io/programs/96327c50-37ce-4a38-bacb-54ead7d4ea09
2024년 파주시 원도심 투어 프로그램 5회차 ‘문산 이야기길’ 투어,마감,투어/체험,경기,2024년 10월 19일 ~ 2024년 10월 19일,참가비 무료 + 도시재생 마을해설·도라산 평화공원·타일체험 등 프로그램 제공,https://www.masil.io/programs/4db7d3ca-4059-47bd-9b15-597b940834b3
『2024 남도에서 한 달 여행하기 in 함평(2차)』,마감,살아보기,전남 함평군,2024년 10월 10일 ~ 2024년 11월 30일,"숙박비: 80,000원 (2인 1실 기준)",https://www.masil.io/programs/3795c517-747a-43f6-aa1a-12b4a8a6bb59
2024년 「사천에서 한 달 여행하기」 (3차),마감,살아보기,경남 사천시,2024년 11월 1일 ~ 2024년 11월 30일,"숙박비 1박당 50,000원",https://www.masil.io/programs/5b81d753-3f53-4fcd-bc0b-0b4f90f71809
DOGO온천 취향살이_사진편 : 도고담다 6기,마감,살아보기,충남,2024년 10월 14일 ~ 2024년 10월 18일,숙박·공유오피스·프로그램·여행자보험 지원,https://www.masil.io/programs/f16d1268-5a80-41ca-a655-2d8f2005b371
2024년 영월에서 먼저 살아보기 (2기),마감,살아보기,강원 영월군,2024년 11월 4일 ~ 2024년 12월 2일,임시 주거공간 제공 + 참가자 활동비 최대 20만원,https://www.masil.io/programs/b3075f75-c95d-4da5-947a-fb271c20e5a1
2024년 변산에 머뭄 2기,마감,한달살기,전북,2024년 7월 1일 ~ 2024년 7월 14일,변산 지역살이·유기농업 프로그램 참여 및 체류 프로그램 제공,https://www.masil.io/programs/86fc724e-51e3-4c4b-b534-0f5b593cae9c
2024년 『하동형 농촌에서 살아보기“하동에서 1주 어때”』 (9-10기),마감,귀농/귀촌,경남 하동군,2024년 11월 4일 ~ 2024년 11월 29일,"식비 : 1식 9,000원 기준 계산하여 지급(1일 3식, 주말 제외)",https://www.masil.io/programs/90a68f19-84b0-4295-af51-1e4bd68757d6
[가을엔 여기로] 여행가는 가을 기차로 떠나는 로컬 여행,마감,한달살기,전국,2024년 11월 1일 ~ 2024년 11월 24일,참가비 1인 4만9천원 제외 여행경비 전액 지원,https://www.masil.io/programs/9712bf6a-e743-441f-bce4-d323265f26da
예산탐구생활 참가자 모집,마감,한달살기,충남 예산군,2024.10.17 ~ 2024.10.25,예산 케미하우스 무료 + 관광지 투어·청년 네트워킹·정착 및 프로젝트 운영 지원,https://www.masil.io/programs/4a239882-c934-4396-9dc8-4c16790b3e85
"강릉살자 시즌4, 10기 참가자 모집",마감,한달살기,강원 강릉시,2024년 11월 11일 ~ 2024년 12월 6일,"참가비 무료(보증금 별도), 공유주거·공유오피스 및 교육·지역체험 지원",https://www.masil.io/programs/5024b509-c1c1-415c-b9fd-448348562c72
「2024 영광에서 한 달 여행하기」 참여자 모집 공고,마감,살아보기,전남,2024년 11월 1일 ~ 2024년 12월 31일,1인 1일 최대 15만원(숙박 8만원·교통 2만원·식비 3만원·체험 2만원) + 여행자보험 지원,https://www.masil.io/programs/fa7e9373-00d1-4052-9c73-94c8cb6f96fc
나와 예산의 내:일 만들기 '예산탐구생활 7기',마감,한달살기,충남,2024년 7월 2일 ~ 2024년 7월 19일,"예산 케미하우스 무료 제공, 관광지 투어·청년 네트워킹·후속 정착 프로그램 및 공간운영 기회 제공",https://www.masil.io/programs/9206ce0d-8cb6-4611-ab29-88505e200015
2024년 담양 행복여행 지원사업 여행참가자 모집공고(2차),마감,한달살기,전남 담양군,2024년 10월 23일 ~ 2024년 12월 31일,"전남 도내 당일 여행상품 1인 16만원 이내 지원, 거동 불편 장애인 등은 동행 1인 추가 지원",https://www.masil.io/programs/5160b507-4f01-4f4d-89f6-2af623a493e9
양구살이 프로그램 「양구안에서」,마감,한달살기,강원 양구군,2024년 11월 9일 ~ 2024년 11월 24일,숙박 1박 5만원 + 식비 1회 1만원 + 체험 1회 2만원 + 웰컴키트·여행자보험,https://www.masil.io/programs/cf96de21-2c2d-4e3e-9f47-6098a37741ea
Y-Trail in Boeun (로컬 체험 트레킹 프로그램),마감,투어/체험,충북,2024년 11월 16일 ~ 2024년 11월 17일,"캠핑 사이트·전기, 안전교육, 여행자보험, 기념품, 식사 2식 제공(참가비 1인 5만원)",https://www.masil.io/programs/b6e1f027-912e-439c-a7e8-d5f2d4a531f4
백운마을 (2기),마감,한달살기,전남,2024년 7월 2일 ~ 2024년 10월 2일,"농촌에서 살아보기 공통 지원: 참가비 없이 주거·연수 프로그램 제공, 월 15일 이상 성실 참여 시 월 300,000원 연수비 지급",https://www.masil.io/programs/47f36dfd-aa5e-418e-9594-70799c5dfab3
2024년 「경주에서 한 달 살아보기」 2기,마감,살아보기,경북 경주시,2024년 8월 1일 ~ 2024년 10월 31일,1인당 최대 166만원(숙박 팀당 1박 5만원 최대 30일 + 체험 1인 주 4만원 최대 4주),https://www.masil.io/programs/5a360a5c-30db-4b0c-98e7-6dbf62995e2f
취하리 브랜딩 캠프 시즌4,마감,투어/체험,경북 영천시,2024.11.07 ~ 2024.11.17,"참가비 무료, 숙박·지정 식사·와인 제공, 우수 기획안 실제 운영 및 후속 프로젝트 협업 기회",https://www.masil.io/programs/9df045d7-9a34-48e8-b3fe-f2a012b45859
피끝마을 (2기),마감,한달살기,경북 영주시,2024년 7월 1일 ~ 2024년 9월 30일,"농촌에서 살아보기 공통 지원: 참가비 없이 주거·연수 프로그램 제공, 월 15일 이상 성실 참여 시 월 300,000원 연수비 지급",https://www.masil.io/programs/6e96d023-c16e-4d2a-bca0-54be43975177
횡성 관광 미션 스탬프투어,마감,미션,강원 횡성군,2024년 6월 5일 ~ 2024년 11월 30일,6개 관광지 스탬프 미션 참여자 중 매달 20명 경품 제공,https://www.masil.io/programs/a0606c30-3f69-468c-9e10-95884dfece4d
2024년 도시민 귀농어귀촌 팸투어,마감,귀농/귀촌,전남 완도군,2024.10.02 ~ 2024.10.18,"귀농·귀어 지원정책 소개, 선도농장 견학, 농어촌·문화체험 등 팸투어 프로그램 제공",https://www.masil.io/programs/87ced57b-a3d8-47bb-aa2e-7bbd52a367fd
[만남의 망남] 일주일 살기 프로그램 참여자 모집,마감,살아보기,전남 완도군,2024년 10월 13일 ~ 2024년 10월 30일,8박9일 숙소 제공(4인1실) + 셀프인테리어 기술교육·공간기획 프로그램,https://www.masil.io/programs/b858cb10-acd7-4a85-a53a-8786bfe01032
2024 영월에서 일주일 살기 「Check-in 영월」,마감,살아보기,강원 영월군,2024년 5월 1일 ~ 2024년 12월 31일,숙박비 1박당 1인 5만원/2인 7만원/3인 8만원/4인 9만원 + 체험·입장료 1인 1일 2만원 + 우수자 20만원 지역화폐,https://www.masil.io/programs/3af75e59-4426-4d83-870a-de341273abb9
2024년 강원에서 살아보기(귀촌형 2기),마감,귀농/귀촌,강원 영월군,2024년 6월 3일 ~ 2024년 7월 3일,거주 제공·체험프로그램 운영 + 연수비 1인 월 10만원,https://www.masil.io/programs/7b3aac33-0a31-4e65-b15c-b710bcce59eb
생텀마을 힐링 트립 위크 2차,마감,한달살기,경북,2024년 5월 27일 ~ 2024년 6월 2일,"참가비 무료, 숙박 제공, 프로그램 진행일 1일 1끼 식사 제공",https://www.masil.io/programs/ae170ad6-e421-4d08-86e6-f03bf802d49d
2024 남쪽바다 걷기수업,마감,투어/체험,경남 남해군,2024년 6월 8일 ~ 2024년 6월 30일,2박3일 독채 숙박 + 웰니스 프로그램 + 조식 2회·석식 1회 제공(약속비 10만원),https://www.masil.io/programs/a09d1019-b8cc-4810-8fe4-1e0040358228
여행친구 여진구와 떠나는 기차여행,마감,투어/체험,강원 양구군·인제군,2024년 5월 29일 ~ 2024년 5월 29일,추첨 선정 20명 대상 여진구와 양구·인제 로컬 기차여행 및 프로그램 제공,https://www.masil.io/programs/9ede12ba-5f31-4f23-a828-5834fcfb000b
2024 완주에서 살아보기(로컬기획자의 초여름방학),마감,살아보기,전북,2024년 6월 3일 ~ 2024년 7월 12일,6주 숙박(1인1실) + 생활비 60만원 + 프로젝트 실행비 40만원 + 멘토링·지역탐색 지원,https://www.masil.io/programs/69f29d37-d2b8-4192-88f1-0dc79aadb1c1
2024년 단양에서 일주일살기,마감,살아보기,충북,2024년 6월 1일 ~ 2024년 12월 31일,숙박 1일 1인 4만원·2인 6만원·3인 8만원·4인 10만원 + 체험 1인 1일 2만원 + 보험 1인 2만원 이내 실비,https://www.masil.io/programs/a9ce4834-f328-41cd-b7cb-b50bc6d00072
픽키지 체험단 모집,마감,한달살기,충남,2024년 5월 27일 ~ 2027년 6월 5일,파라다이스 스파 도고 40% 할인 + 공방·사진관 등 체험 콘텐츠 무료 이용,https://www.masil.io/programs/68631e33-7e26-4b72-9d36-328d3bfe52ea
"6월엔 여기로 - 여행가는 달, 기차로 떠나는 로컬여행",마감,한달살기,전국,2024년 6월 1일 ~ 2024년 6월 15일,"참가비 1인 49,000원을 제외한 여행경비 전액 지원(다자녀 미성년자 참가비 20,000원)",https://www.masil.io/programs/6b18f3fc-a032-4e96-8698-971c86897085
부산형 워케이션 ART WEEK 프로그램,마감,워케이션,부산,2024년 5월 27일 ~ 2024년 5월 31일,원데이클래스·골목 아트투어·ART 네트워킹 프로그램 제공,https://www.masil.io/programs/dcd1383c-0ae8-4766-a0ff-67e6cab27a8f
2024년 울진군 포토인증 관광이벤트,마감,미션,울산,2024년 6월 1일 ~ 2024년 12월 31일,"매월 30명 경품: 숙박권(3명), 케이블카 2인권+5만원 특산품(7명), 3만원 특산품(20명)",https://www.masil.io/programs/dfec8b9b-5908-46cc-9648-00b34931a036
성주군 농촌에서 살아보기(2기),마감,귀농/귀촌,경북 성주군,2024.05.16 ~ 2024.05.24,숙소·체험프로그램 제공 + 연수비 30만원 지급,https://www.masil.io/programs/d6bdec6e-9b69-4f19-b293-dc4aa210c036
2024년 『하동형 농촌에서 살아보기 “하동에서 3주 어때?”』,마감,귀농/귀촌,경남 하동군,2024년 6월 10일 ~ 2024년 6월 28일,"식비 지원: 1식 8,000원 기준 지급 (1일 3식, 주말 제외)",https://www.masil.io/programs/ab43eff1-daf2-4518-b34b-a1d9540ab9c6
공예路 만나는 부안 스탬프투어,마감,미션,전북,2024년 5월 17일 ~ 2024년 5월 26일,스탬프투어 참여 완료 시 에코백 제공,https://www.masil.io/programs/50e2852c-035b-4b89-9889-01f59a5a4cb9
2024 달서9경 모바일 스탬프투어,마감,미션,대구,2024년 6월 3일 ~ 2024년 11월 30일,스탬프 5개 이상 획득자 중 매월 50명 추첨 1만원 모바일상품권,https://www.masil.io/programs/b59b1835-2fe6-49ac-97b9-1b0692a35095
창창한 촌캉스 생태관광,마감,투어/체험,경남,2024년 6월 1일 ~ 2024년 6월 2일,"생태해설·버스·체험비·간식 지원(참가비 3인 180,000원, 1인 추가 20,000원, 24개월 이하 무료)",https://www.masil.io/programs/b0cad0bb-1ff4-4d55-bab1-5cfabbc3303c
속초 라이프밸리 라이프 스케처,마감,한달살기,강원 속초시,2024년 6월 28일 ~ 2024년 7월 9일,숙소·웰컴키트·프로그램 운영일 1일 1식·커뮤니티룸·공유오피스·지역 프로그램 등 지원,https://www.masil.io/programs/9700bb46-9ad7-4de3-b55d-1176106d87bd
워케이션 in 경상북도 '일쉼동체',마감,워케이션,경북,2024년 3월 1일 ~ 2024년 12월 31일,경북 워케이션 상품 이용 지원(숙박·공유오피스·지역 체험 연계),https://www.masil.io/programs/7ee8e266-4956-42f1-8b9a-3f719342553d
「남도 장흥에서 한 달 여행하기」,마감,살아보기,전남 장흥군,2024.05.16 ~ 2024.05.22,"숙박비: 최대 80,000원 (1팀당 1일)",https://www.masil.io/programs/2849b5c6-b326-4d9d-af58-19550f72e454
2024 청촌맛 여행 3차 (@담양),마감,한달살기,전남 담양군,2024년 6월 6일 ~ 2024년 6월 8일,"숙박비·식비·체험비·교통비 등 전체 행사비의 80% 지원(참가비 1인 50,000원)",https://www.masil.io/programs/dc9080a4-2eb4-4bf1-911b-b38a8af72ce2
동대문구 도장깨기,마감,미션,서울 동대문구,2024년 5월 4일 ~ 2024년 11월 17일,문화관광해설사 동행 투어 제공(참가비 5천원),https://www.masil.io/programs/e798144b-7cb7-427e-849d-f828a628327d
"미추홀 시간여행, 고고(古古)발굴단",마감,한달살기,인천 미추홀구,2024.05.17 ~ 2024.05.25,"간식·기념품 및 프로그램 제공(참가비 1인 10,000원)",https://www.masil.io/programs/4b0a5d72-808e-42a7-8a2b-9eb85ef472b3
2024년 농촌에서 살아보기 1기 (생림면 도요마을),마감,귀농/귀촌,경남 김해시,2024년 5월 27일 ~ 2024년 7월 26일,2~3개월 임시주거 제공 및 농촌생활·영농 관련 프로그램 지원,https://www.masil.io/programs/c9450f9e-e22c-469e-9d53-92eab5c435dc
2024 영덕군 영해면 살아보기,마감,살아보기,경북 영덕군,2024.05.20 ~ 2024.06.02,"4주 주거공간 + 1인 프로젝트비 30만원, 정착 희망자 30만원 바우처, 로컬체험·교육·웰컴키트 제공",https://www.masil.io/programs/67c20f3d-1140-4a19-8d8e-62cc08870cd5
「2024 함평군 행복여행 지원사업」 여행 참가자 모집,마감,한달살기,전남 함평군,2024.05.29 ~ 2024.06.18,"관광취약계층 당일 여행상품 1인 16만원 이내 지원, 거동 불편 장애인·70세 이상 저소득층은 동행 1인 추가 지원",https://www.masil.io/programs/9db847ae-26e4-4018-bd12-d8f5c4494006
"[대한항공 이벤트] 하와이, 댈러스, 샌프란시스코로 여러분을 초대합니다",마감,한달살기,해외(미국),2024년 5월 1일 ~ 2024년 6월 30일,"하와이·댈러스 항공권 5% 할인, 샌프란시스코 항공권 7% 할인",https://www.masil.io/programs/e9a1aaa9-5464-43aa-8d7d-7cfbc7504da1
[대한항공 이벤트] 호주의 구석구석을 만나보세요!,마감,한달살기,해외(호주),2024년 5월 3일 ~ 2024년 6월 30일,시드니·브리즈번행 항공권 10% 할인 + 항공권 구매 응모 경품 이벤트,https://www.masil.io/programs/d04df0f0-461b-4828-bcde-969189d37ab7
청정 자연 속 야(夜)밤 무주투어,마감,투어/체험,전북,2024.05.16 ~ 2024.05.24,프로그램 참가비 전액 지원,https://www.masil.io/programs/f6d736a4-f0ba-4174-8d0d-7a134c8d6593
2024년 전북특별자치도 팸투어 '워케이션 in전북',마감,워케이션,전북,2024년 6월 11일 ~ 2024년 6월 13일,"2박3일 숙박비·식비 전액, 입장·체험비·여행자보험 지원 + 원고료 10만원 및 미션 인센티브",https://www.masil.io/programs/cd03e5bb-2cf8-4c35-9ee8-8ed4ed306653
진천 뤁빌리지 지역살이 (5월),마감,살아보기,충북,2024년 5월 27일 ~ 2024년 5월 29일,"숙박·교육·체험 무료, 주거·활동공간 무료 제공, 멘토링·정착지원 연계",https://www.masil.io/programs/aa01dd8f-d69b-4177-8785-4be9277284d7
